rowKey,year,Mean2011,Binteraction,SEinteraction,upper_limit,lower_limit
"sum_wage",0,8013.624,-344.0751,826.5307,1015.568,-1703.718
"sum_wage",1,6223.675,746.674,730.1624,1947.791,-454.4431
"sum_wage",2,7839.235,866.6965,606.8031,1864.888,-131.4946
"sum_wage",3,14500.19,-1560.618,1008.435,98.25813,-3219.494
"sum_wage",4,25185.64,-4682.425,2308.211,-885.4179,-8479.433
"sum_wage",5,32396.47,-4156.638,2314.643,-349.0507,-7964.225
"sum_wage",6,39378.64,-880.541,1694.928,1907.616,-3668.698
"sum_wage",7,44060.62,1853.179,1900.298,4979.169,-1272.811
"sum_wage",8,44117.98,3306.059,1958.288,6527.442,84.67574
"sum_wage",9,49837.3,4869.712,1756.725,7759.525,1979.9
"sum_wage",10,58603.47,3312.665,2718.517,7784.626,-1159.295
"sum_wage",11,63522.64,5851.451,2792.985,10445.91,1256.991
"work",0,.6935146,.0256465,.0252078,.0671135,-.0158204
"work",1,.4445607,.0795489,.031394,.1311921,.0279057
"work",2,.4657427,.0430097,.0208855,.0773664,.0086529
"work",3,.6315377,-.0242577,.0210073,.0102993,-.0588147
"work",4,.7771966,-.0122922,.0152619,.0128136,-.0373981
"work",5,.8328975,-.0099682,.0174186,.0186855,-.0386218
"work",6,.8498954,-.0050701,.0139535,.0178834,-.0280237
"work",7,.8679394,.0202511,.0143027,.043779,-.0032768
"work",8,.8237448,.0143587,.0180071,.0439804,-.0152629
"work",9,.8376046,.0235514,.0152757,.0486799,-.0015771
"work",10,.8514645,.0031643,.0125601,.0238257,-.0174972
"work",11,.8478034,.0104258,.0128932,.0316352,-.0107836
